feature,coefficient,feature_type
00,2.4724784687568873,word (tfidf)
10,-0.8532492469297857,word (tfidf)
10 00,1.0151437775015197,word (tfidf)
100,0.5708331922763495,word (tfidf)
11,-0.5054056097798046,word (tfidf)
12,-0.01778732338208999,word (tfidf)
13,-1.1989580923128458,word (tfidf)
14,1.1279591105441282,word (tfidf)
15,0.73957982207263,word (tfidf)
16,-0.6940690240541955,word (tfidf)
17,1.0127593002488027,word (tfidf)
18,0.8057753801647576,word (tfidf)
19,-0.35416548210792753,word (tfidf)
20,-0.4151698736163256,word (tfidf)
20 years,-1.0251233312839074,word (tfidf)
200,1.5204340198059167,word (tfidf)
2014,-2.603908876969166,word (tfidf)
2015,-2.729047361692477,word (tfidf)
2016,-1.6689621288558572,word (tfidf)
2017,-1.6893396059863448,word (tfidf)
2018,-0.8930096977914603,word (tfidf)
2020,1.4593697431329253,word (tfidf)
21,-1.1942608991406003,word (tfidf)
22,-0.36038294338338805,word (tfidf)
23,0.11694824456476442,word (tfidf)
24,0.24800532653407026,word (tfidf)
25,-0.32065348035310337,word (tfidf)
27,-0.2545143918298738,word (tfidf)
30,2.292748885563265,word (tfidf)
300,0.8509502381036309,word (tfidf)
32,1.4220315511195603,word (tfidf)
35,0.6903914219313766,word (tfidf)
40,1.0091044047110538,word (tfidf)
400,1.4324794369855751,word (tfidf)
45,1.069944067887255,word (tfidf)
50,0.20749608642128253,word (tfidf)
500,0.72578219291465,word (tfidf)
60,-0.07362617972439847,word (tfidf)
70,-0.07736278076156633,word (tfidf)
80,0.671303246622661,word (tfidf)
90,1.2521661950450538,word (tfidf)
98,2.169773950912528,word (tfidf)
99,1.7122956438865164,word (tfidf)
abandoned,-0.20033412829982014,word (tfidf)
ability,0.5759329790716329,word (tfidf)
able,1.1621841630499692,word (tfidf)
abortion,-0.5714131407126096,word (tfidf)
absolutely,0.8929526030838267,word (tfidf)
abuse,-1.425136844855657,word (tfidf)
academy,1.991999245183777,word (tfidf)
accept,-0.3288749442038637,word (tfidf)
access,-0.5371952534379081,word (tfidf)
accident,-0.5408499252249249,word (tfidf)
accidentally,2.265748978411122,word (tfidf)
according,-2.2762591401062537,word (tfidf)
account,1.1881417922259474,word (tfidf)
accused,-4.414356308639154,word (tfidf)
act,0.3479862952900578,word (tfidf)
acting,0.5074697258248223,word (tfidf)
action,-0.9371605493977372,word (tfidf)
activist,-0.9580579064429784,word (tfidf)
activists,-1.738428363533103,word (tfidf)
actor,-0.28217379817469396,word (tfidf)
actors,-0.22665107024091047,word (tfidf)
actress,0.009435318151666537,word (tfidf)
actual,0.427034873433969,word (tfidf)
actually,0.9398956295158285,word (tfidf)
ad,0.5083422562482377,word (tfidf)
adam,0.4229240789325112,word (tfidf)
add,0.6990957963852102,word (tfidf)
addiction,-0.47301782789767943,word (tfidf)
address,0.6822245373413249,word (tfidf)
adds,1.4049912298454914,word (tfidf)
adele,-2.006413729914558,word (tfidf)
